PID,OverallQuality,OverallCondition
0528142140,8,5
0528178090,8,5
0528181010,7,5
0528186160,8,5
0528186170,8,5
0528188090,7,5
0528188150,7,5
0528190010,7,5
0528228345,7,5
0528228405,7,5
0528228445,7,5
0528228465,7,5
0528228540,7,5
0528235020,6,5
0528235120,6,5
0528235180,7,5
0528240040,6,5
0528290010,7,5
0528292060,7,5
0528294060,7,5
0528315060,8,5
0528315110,8,5
0528326030,8,5
0528326110,9,5
0528346050,8,5
0528354100,7,5
0528363020,8,7
0528363110,8,6
0528365060,7,5
0528365080,7,5
0528387050,7,5
0528390020,8,5
0528427010,8,5
0528427070,6,5
0528429050,8,5
0528429070,7,5
0528429080,9,5
0528431060,8,5
0528431080,7,5
0528435020,8,5
0528458030,8,5
0528458050,7,5
0528477040,7,5
0528478030,8,5
0528478040,7,5
0528480060,8,5
0528482020,8,5
0528488140,7,5
0528490080,6,5
0531363060,7,5
0531371070,6,5
0531373060,7,5
0531375050,6,5
0531375110,5,5
0531376070,7,5
0531382090,6,5
0531382110,6,5
0531450030,7,5
0531450090,6,5
0531450170,6,5
0531451020,6,5
0531452140,6,5
0532351050,5,5
0532353050,5,6
0532354150,5,8
0532376170,5,5
0532377020,5,5
0532378200,6,8
0532477030,6,5
0532479020,5,4
0533125080,6,5
0533125140,9,5
0533206050,7,5
0533208080,7,5
0533208140,7,5
0533212050,6,5
0533212140,7,5
0533212150,7,5
0533213070,7,5
0533213120,6,5
0533215020,9,5
0533215030,9,5
0533215040,9,5
0533215070,9,5
0533215080,9,5
0533217050,7,5
0533217060,7,5
0533234020,7,5
0533236060,8,5
0533236070,8,5
0533250050,8,5
0533250110,8,5
0533251120,6,6
0534126090,7,6
0534127210,6,6
0534127230,6,5
0534128050,6,7
0534129060,7,7
0534177180,6,7
0534201240,5,6
0534202130,5,8
0534204030,5,7
0534250335,7,6
0534250410,6,6
0534251280,6,8
0534252270,7,5
0534277060,4,6
0534277070,4,7
0534400030,5,6
0534400060,6,5
0534401130,6,7
0534401190,6,6
0534403050,6,7
0534403080,5,8
0534403100,6,5
0534403260,5,5
0534426040,5,7
0534427040,6,6
0534428020,4,5
0534428100,5,7
0534451170,3,6
0534452060,5,6
0534477080,6,5
0534477090,5,8
0534477270,6,6
0534479150,5,5
0535104020,6,5
0535105030,5,6
0535105060,6,9
0535126140,6,7
0535150210,5,7
0535150280,5,5
0535151160,5,7
0535152200,5,4
0535153140,5,7
0535153150,6,6
0535176100,6,6
0535178060,6,5
0535179060,6,5
0535180100,6,7
0535180120,5,5
0535301080,5,6
0535302130,5,6
0535302140,5,5
0535303030,6,5
0535305030,5,7
0535305160,5,5
0535352080,5,5
0535375160,5,8
0535380050,5,6
0535380110,4,7
0535380140,5,5
0535402120,6,6
0535403010,5,6
0535425060,7,7
0535426260,6,5
0535427070,7,7
0535451050,5,7
0535453020,5,6
0535453040,5,5
0535453210,5,6
0535454150,6,6
0535455060,6,7
0535455080,6,6
0535455090,6,5
0535456070,5,6
0535456100,5,7
0535475020,6,5
0535476370,6,6
0535477090,5,5
0902100020,6,5
0902100030,5,5
0902102060,5,8
0902103150,5,7
0902105010,5,5
0902105020,6,7
0902105130,5,4
0902107030,6,7
0902109110,7,5
0902109120,4,6
0902128075,7,6
0902128150,6,6
0902134100,5,6
0902136110,5,9
0902201120,5,5
0902201140,5,7
0902202090,5,6
0902205070,2,5
0902205090,5,6
0902205140,4,7
0902207120,3,1
0902300110,5,5
0902300215,5,8
0902300260,7,8
0902301140,5,5
0902301150,5,7
0902305080,6,5
0902306120,5,9
0902306130,7,9
0902326060,6,7
0902328040,6,6
0902330010,8,5
0902401010,7,7
0902405070,7,7
0902406020,5,6
0902406090,5,5
0902427150,4,6
0903201030,5,7
0903204010,7,7
0903204095,5,6
0903206070,5,5
0903225050,5,6
0903225140,5,7
0903225160,6,9
0903226060,6,7
0903226150,5,7
0903227080,6,7
0903228040,6,7
0903228060,6,5
0903228090,6,7
0903230110,5,7
0903231080,4,7
0903232090,5,7
0903233080,7,5
0903234090,5,5
0903234100,7,5
0903235010,6,8
0903235100,4,6
0903236010,5,5
0903400180,6,7
0903401020,7,6
0903401030,6,4
0903401050,5,5
0903425420,6,7
0903426160,6,8
0903427090,8,7
0903429010,6,8
0903452025,6,6
0903453050,6,6
0903454100,6,6
0903455030,5,6
0903455140,6,7
0903456130,6,6
0903458110,6,7
0903475020,5,7
0903476110,6,7
0903481010,5,8
0903484020,6,7
0904100020,5,6
0904100040,5,5
0904100160,5,5
0904351280,5,7
0905100020,5,6
0905102170,5,5
0905103030,6,5
0905104080,5,7
0905104110,5,7
0905104180,5,7
0905107380,5,5
0905108170,5,5
0905200160,5,3
0905200510,5,6
0905201020,5,8
0905201110,6,8
0905201120,5,5
0905202230,6,7
0905225040,5,6
0905226030,5,8
0905351089,6,5
0905352030,7,5
0905352070,7,6
0905401045,7,7
0905401060,4,6
0905403060,7,5
0905403150,6,5
0905426030,5,7
0905427050,6,7
0905451330,5,6
0905452120,6,8
0905476120,5,8
0905477050,5,7
0905479110,5,5
0905480150,6,5
0905480240,5,6
0906204150,7,5
0906204280,6,5
0906223110,7,5
0906223140,7,5
0906223220,7,5
0906378190,7,5
0906380030,8,5
0906412010,9,5
0906420130,7,5
0906424010,8,5
0906475100,6,6
0906476030,6,5
0907126030,5,7
0907135020,5,6
0907135260,5,5
0907175080,7,5
0907194020,7,5
0907196040,7,5
0907196050,7,5
0907200110,5,6
0907201060,5,8
0907202010,5,6
0907202160,6,6
0907202190,5,6
0907202240,5,6
0907203090,5,6
0907227050,5,7
0907227300,5,7
0907250020,8,5
0907253060,7,5
0907255020,8,5
0907255030,9,5
0907255060,8,5
0907260010,8,5
0907262030,7,5
0907262060,7,5
0907262070,7,5
0907265100,8,5
0907285080,7,5
0907290150,6,5
0907290250,6,5
0907295020,6,5
0907412090,8,5
0907418010,7,6
0907418040,7,5
0907420080,7,5
0907425010,6,5
0907425015,6,5
0907425030,6,5
0907425035,6,5
0908102030,5,7
0908102140,5,5
0908102260,5,6
0908103260,5,5
0908103280,6,6
0908127120,5,6
0908128050,4,5
0908128110,7,5
0908151040,6,6
0908152110,6,7
0908152270,4,5
0908225170,4,5
0908226120,5,7
0908250090,4,5
0908275130,5,6
0908275180,4,6
0908275280,5,7
0909100150,4,7
0909100170,5,6
0909101060,3,3
0909101180,5,6
0909131170,6,8
0909175050,5,8
0909175100,6,5
0909177120,7,8
0909201110,5,6
0909251080,6,6
0909251090,6,7
0909252110,6,7
0909252220,6,6
0909253190,6,5
0909254050,8,9
0909256060,6,5
0909275040,6,3
0909275050,7,6
0909276170,6,7
0909277040,5,6
0909277070,5,4
0909281030,6,5
0909281110,8,6
0909425010,7,9
0909425085,7,9
0909428170,5,5
0909428190,6,7
0909451020,6,6
0909451150,6,6
0910200080,6,8
0910201130,6,8
0910202050,4,4
0910202100,6,8
0910203020,5,6
0910203090,5,7
0910206110,5,7
0910226040,5,5
0911102170,4,4
0911102180,4,7
0911370520,7,5
0911370540,8,5
0914465060,8,5
0914467050,7,5
0914475020,6,6
0914476010,6,6
0914476450,4,5
0916226030,7,6
0916325080,8,6
0916380060,8,5
0916382120,8,5
0916384100,8,5
0916386040,5,5
0916386080,5,5
0916386180,7,5
0916402015,6,5
0916402115,6,5
0916402215,6,5
0916403230,6,5
0916455120,8,5
0916460060,6,5
0916477020,8,5
0921126030,8,5
0921201060,8,5
0923202137,5,5
0923203140,6,5
0923225080,5,6
0923225150,5,6
0923225200,5,7
0923225310,4,7
0923225370,4,6
0923227030,5,6
0923228080,6,9
0923228420,4,7
0923250210,5,5
0923252100,5,7
0923275090,5,5
0923277030,5,9
0923277040,5,8
0923277080,5,6
0923400040,6,7
0923426010,5,6
0924100020,5,4
1007100110,5,1
0526352080,6,6
0526352090,7,5
0526355170,7,6
0526355190,8,6
0527105140,7,5
0527107040,6,5
0527110080,6,6
0527110120,6,5
0527110130,6,5
0527126030,8,5
0527158090,6,5
0527161090,6,5
0527162080,7,5
0527162090,7,5
0527163080,7,5
0527165020,7,5
0527165100,7,5
0527165170,6,5
0527175130,6,6
0527182040,8,5
0527182170,7,5
0527184020,8,5
0527184110,8,5
0527210060,9,5
0527252050,9,5
0527252070,8,6
0527256030,8,5
0527301080,6,7
0527301280,6,5
0527302060,7,7
0527302090,7,6
0527325090,7,5
0527328020,6,6
0527328050,6,6
0527353080,7,6
0527354050,6,5
0527356050,5,5
0527357020,6,5
0527358060,5,6
0527359080,7,7
0527359160,7,6
0527377110,6,6
0527402090,5,7
0527402150,6,5
0527402240,7,9
0527403310,5,6
0527404050,5,5
0527404100,5,5
0527404140,4,5
0527404150,4,6
0527425140,4,6
0527427090,7,5
0527427160,6,5
0527427200,6,5
0527450030,6,6
0527450150,6,5
0527450220,6,5
0527451020,5,5
0527451170,5,5
0527452100,6,5
0527453010,6,6
0527455030,7,7
0527455250,5,6
0528102120,8,5
0528102130,8,5
0528104010,8,5
0528106060,8,5
0528108160,7,5
0528110070,8,5
0528112150,8,5
0528120010,8,5
0528120150,8,5
0528144050,8,5
0528150110,8,5
0528150120,8,5
0528166150,8,5
0528168040,8,5
0528172030,8,5
0528172050,7,5
0528172070,8,5
0528172075,8,5
0528174010,6,5
0528174020,6,5
0528174030,6,5
0528174040,6,5
0528181060,8,5
0528181070,8,5
0528181080,8,5
0528186190,8,5
0528188160,7,5
0528218020,6,5
0528218050,6,5
0528218100,7,5
0528221030,6,5
0528221040,6,5
0528221050,6,5
0528221090,7,5
0528222030,7,5
0528222040,7,5
0528222050,6,5
0528222060,6,5
0528222080,7,5
0528222090,7,6
0528228270,7,5
0528228375,8,5
0528228555,7,5
0528231010,7,5
0528231030,7,5
0528235000,7,5
0528235160,7,5
0528235170,7,5
0528240020,7,5
0528250070,7,5
0528275035,6,5
0528275110,7,5
0528280110,6,5
0528280150,7,5
0528290060,7,5
0528290170,6,5
0528294010,6,5
0528322020,8,5
0528326060,8,5
0528340030,9,5
0528344020,8,5
0528348030,7,5
0528354060,7,5
0528354110,7,5
0528358040,7,5
0528364110,8,5
0528366070,8,5
0528376010,8,5
0528427040,7,6
0528427100,8,5
0528429110,8,5
0528431030,8,5
0528431050,8,5
0528431110,8,5
0528435060,7,6
0528435070,8,5
0528439040,8,5
0528439050,8,5
0528439080,7,5
0528441080,8,5
0528445020,7,5
0528445070,8,5
0528456190,8,5
0528456230,7,5
0528458080,8,5
0528458120,8,5
0528458130,8,5
0528477020,8,5
0528482010,8,5
0528482030,6,5
0531363020,6,5
0531363040,7,5
0531375140,5,5
0531376060,7,5
0531380110,6,5
0531384070,6,5
0531385070,7,5
0531385130,7,5
0531451030,6,5
0531451150,6,5
0531453140,5,7
0532353120,5,5
0532354010,5,6
0532354060,5,5
0532354070,5,7
0532376040,4,5
0532376090,5,5
0532377050,5,7
0532377140,5,5
0532378240,5,6
0532476080,7,5
0532477040,7,7
0532479050,5,5
0532479140,6,7
0533120030,8,5
0533130170,8,5
0533205110,8,5
0533206060,8,5
0533206070,8,5
0533208010,7,5
0533208020,7,5
0533208070,7,5
0533213130,6,5
0533213140,6,5
0533221030,6,5
0533221060,6,5
0533221100,6,5
0533223050,7,5
0533236040,8,5
0533241030,7,5
0533242080,7,5
0533242090,8,5
0533244040,8,5
0533250190,8,5
0533251110,7,6
0533251130,5,7
0533252130,5,8
0533253180,8,6
0533254100,6,7
0533254130,6,8
0533350020,8,5
0534104090,7,5
0534125120,6,6
0534127080,6,6
0534127140,6,6
0534127260,6,5
0534128090,7,7
0534151090,7,6
0534151180,7,6
0534176140,6,7
0534177210,7,6
0534178010,6,5
0534201040,5,6
0534202030,5,5
0534204120,5,7
0534252040,5,5
0534252110,5,5
0534275170,6,8
0534275220,5,5
0534276070,6,8
0534276160,5,7
0534276180,5,5
0534278150,5,5
0534278170,5,7
0534278190,5,7
0534401120,7,6
0534401200,6,5
0534403040,6,7
0534403290,6,7
0534403420,6,5
0534425015,6,7
0534425080,6,6
0534427140,5,6
0534430090,6,5
0534431020,5,7
0534451020,3,5
0534453080,5,8
0534475170,6,6
0534476080,5,6
0534479120,5,5
0534479140,5,7
0535105110,6,5
0535106140,5,5
0535106180,5,5
0535151020,6,7
0535151100,5,6
0535152060,5,6
0535154080,6,6
0535155110,5,7
0535176070,6,6
0535177020,5,5
0535177110,6,6
0535179120,5,5
0535180030,5,5
0535181030,6,3
0535181140,5,6
0535300040,5,5
0535301060,5,9
0535302070,6,6
0535304170,6,7
0535305180,5,7
0535325090,5,8
0535325280,5,5
0535325320,4,4
0535327160,5,5
0535327200,5,7
0535353050,4,6
0535353130,5,5
0535353160,4,7
0535354050,5,7
0535354260,5,6
0535375130,5,6
0535376010,4,6
0535378080,4,7
0535379060,4,6
0535379110,5,9
0535382150,5,6
0535402140,7,5
0535402180,5,7
0535403030,6,6
0535450190,5,7
0535450220,6,5
0535450310,6,6
0535451040,5,7
0535451100,5,3
0535451110,5,8
0535452060,5,7
0535453080,5,7
0535453150,5,6
0535453180,5,5
0535457020,5,5
