PID,YearBuilt,YearRemodel,VeneerExterior,BsmtFinTp,BsmtFinSqft,BsmtUnfinSqft,HeatingQC,FstFlrSqft,SecFlrSqft,AbvGrndLiving,FullBathBsmt,HalfBathHouse,FullBathHouse,BdrmAbvGrnd,RmAbvGrnd,Fireplaces,GarageTp,GarageCars,GarageArea,WdDckSqft,OpenPrchSqft,SalePrice
0531451280,1992,1992,0,0,0,1055,3,1055,790,1845,0,1,2,3,8,1,3,2,462,635,104,189000
0531452020,1979,1979,0,0,0,918,1,918,0,918,0,0,2,2,5,1,3,1,264,28,0,99500
0531452050,1984,1984,0,1,623,0,1,752,0,752,1,0,1,2,4,0,3,1,264,353,0,125000
0531452180,1993,2003,0,1,402,594,3,1014,730,1744,0,1,2,3,7,0,3,2,457,370,70,194500
0531453010,1984,1985,0,1,338,702,1,1097,0,1097,0,0,2,3,6,0,3,2,480,0,0,152000
0531453040,1980,1981,130,0,0,650,1,888,676,1564,0,1,2,3,7,1,3,2,476,0,50,171000
0531477050,1920,1950,0,0,0,816,1,1012,0,1012,0,0,1,2,5,0,1,1,429,121,0,67500
0532354090,1961,1995,0,1,899,210,1,1155,0,1155,1,0,1,3,6,0,1,2,576,192,0,148000
0532376160,1965,2009,0,1,553,224,3,894,0,894,1,0,1,3,5,1,1,1,336,416,144,138500
0532377060,1967,1967,31,1,450,432,1,900,0,900,0,0,1,3,5,0,1,1,280,0,0,122000
0532377100,1963,1963,0,1,824,216,0,1040,0,1040,1,1,1,3,5,0,3,1,308,0,0,133000
0532378110,1962,2010,0,1,659,381,3,1040,0,1040,1,1,1,3,6,0,1,1,260,0,104,127000
0532479070,1974,2002,250,1,126,223,3,1494,0,1494,1,0,2,3,7,2,3,2,461,296,0,169000
0533130020,1992,1992,0,1,674,76,3,1061,862,1923,1,1,2,3,8,1,3,2,564,240,39,190000
0533130130,1993,1993,504,1,250,0,3,1251,1098,2349,1,1,2,4,9,1,3,3,762,32,130,362500
0533130160,1992,1993,180,1,1129,261,3,1402,823,2225,1,1,2,4,7,1,3,3,713,198,30,285000
0533205060,2004,2005,0,1,1298,190,3,1488,0,1488,1,0,2,2,6,1,3,2,506,168,50,260000
0533208090,2004,2004,0,0,0,840,3,840,840,1680,0,1,2,2,3,0,3,2,588,0,111,190000
0533210060,2004,2004,120,1,280,320,3,600,600,1200,0,1,2,2,4,0,1,2,480,0,172,155000
0533212010,2004,2005,0,0,0,600,3,600,600,1200,0,1,2,2,4,0,1,2,480,0,172,151000
0533212020,2004,2005,0,1,368,190,3,600,600,1200,1,1,2,2,4,0,1,2,480,0,172,149500
0533212060,2005,2005,216,1,376,224,3,600,636,1236,1,1,2,2,4,0,1,2,480,0,166,152000
0533221090,2000,2000,216,1,378,378,3,769,804,1573,0,1,2,3,5,0,1,2,440,0,32,177500
0533221110,2000,2000,1159,1,466,290,3,756,756,1512,1,1,2,2,5,0,1,2,440,0,32,177000
0533223020,1999,1999,0,1,604,92,3,696,720,1416,1,1,2,3,6,0,1,2,484,0,44,155000
0533223100,2003,2003,0,1,244,286,3,530,550,1080,0,1,2,2,4,0,3,2,496,0,50,147110
0533238045,2010,2010,0,1,1032,610,3,1418,0,1418,1,1,1,1,6,1,3,3,852,160,192,267916
0533244030,2000,2000,0,1,484,491,3,975,873,1848,1,1,2,3,7,1,3,2,592,280,184,254000
0533253060,1980,1980,0,1,728,0,1,788,0,788,1,0,1,1,3,1,1,2,484,133,42,155000
0533253210,1978,1978,0,1,1052,174,1,1226,0,1226,1,0,1,1,4,1,3,2,484,223,78,206000
0533352170,1976,2005,289,1,533,192,3,725,754,1479,0,1,2,3,6,0,3,2,475,0,44,130500
0534102025,2002,2002,0,1,833,659,3,1492,0,1492,1,0,2,3,6,1,3,2,596,277,137,230000
0534129040,1967,1967,120,1,506,1323,2,1829,0,1829,1,0,2,4,8,0,3,2,535,0,76,218500
0534151175,1993,1993,0,1,1137,143,3,1280,1215,2495,1,1,2,4,9,1,3,2,660,224,32,243500
0534152050,1977,2001,28,1,1200,410,2,1610,0,1610,1,0,2,3,6,2,3,2,480,168,68,205000
0534152100,1988,1988,42,1,394,586,1,980,734,1714,0,1,2,3,7,1,3,2,496,228,66,196500
0534176060,1972,2006,0,1,982,179,1,1381,0,1381,1,1,1,3,5,1,3,2,676,0,0,197500
0534202160,1966,1966,172,1,698,534,1,1232,0,1232,1,1,1,3,6,0,3,2,490,0,224,142250
0534251320,1963,1963,451,1,569,678,1,1328,0,1328,1,1,1,3,6,2,3,2,528,0,26,143000
0534276360,1959,1959,0,1,569,381,0,1225,0,1225,1,1,1,3,6,0,0,0,0,352,0,128950
0534401110,1966,1966,0,1,1059,150,2,1209,0,1209,1,0,1,3,6,0,3,2,504,0,0,159000
0534401140,1967,1967,268,1,1010,500,3,1510,0,1510,1,0,2,3,6,0,3,2,517,0,40,178900
0534403360,1964,1964,0,0,0,533,1,1131,644,1775,0,0,2,3,8,0,3,2,480,0,172,136300
0534403410,1964,1964,86,1,1014,138,1,1152,0,1152,1,0,1,3,6,1,3,2,484,227,0,180500
0534425310,1963,1963,156,1,763,173,3,1054,0,1054,1,0,1,3,6,0,3,2,480,120,0,137500
0534430080,1950,1996,0,1,49,0,2,1078,0,1078,1,0,1,2,5,0,3,1,240,366,0,142125
0534431050,1952,2002,265,1,670,470,2,1929,532,2461,0,0,2,3,7,2,1,2,400,0,0,197600
0534431070,1949,1950,340,1,300,482,1,1019,537,1556,0,0,2,3,6,1,3,2,470,0,0,172500
0534450180,1958,2008,0,1,696,162,2,858,0,858,1,0,1,2,4,0,0,0,0,117,0,116500
0534451150,1940,1966,0,0,0,728,3,1306,0,1306,0,0,1,3,6,0,0,0,0,263,0,76500
0534475100,1954,1954,110,1,354,412,1,1063,0,1063,1,0,1,3,6,0,3,1,280,0,0,128000
0534479320,1954,1954,200,1,540,728,2,1268,0,1268,0,0,1,2,7,1,3,1,244,0,98,132000
0535101020,1966,2008,216,1,944,136,2,1128,0,1128,1,0,1,2,5,1,3,1,315,238,0,178000
0535125010,1970,1989,287,1,912,1035,1,2207,0,2207,1,0,2,3,7,1,3,2,576,301,0,180000
0535126040,1966,2002,0,1,247,557,3,1888,0,1888,0,1,2,2,6,1,3,2,578,0,0,190000
0535152050,2003,2009,506,1,1188,292,3,1480,0,1480,1,0,2,3,7,0,3,2,620,252,73,214000
0535152130,1959,1959,150,1,856,125,1,1143,0,1143,1,0,1,3,6,0,3,1,308,0,0,136000
0535152150,1959,1959,0,1,1018,380,2,1700,0,1700,0,1,1,4,6,1,3,2,447,0,38,165500
0535152250,1957,1957,0,1,922,392,1,1314,0,1314,1,0,1,3,5,0,3,1,294,250,0,145000
0535153070,1959,1959,220,0,0,1194,1,1194,0,1194,1,0,1,3,6,0,3,1,312,0,0,148000
0535154050,1959,1959,180,1,1000,188,0,1188,0,1188,1,0,1,3,6,0,3,2,531,0,0,142000
0535175070,1960,1960,324,1,697,571,1,1264,0,1264,1,0,1,3,6,2,3,2,461,0,0,167500
0535175180,1959,1959,91,1,936,270,0,1206,0,1206,0,0,1,3,6,0,3,1,312,0,21,108538
0535179020,1959,1959,432,1,734,510,3,1580,0,1580,1,1,1,3,6,2,3,2,440,0,28,159500
0535180130,1956,1956,0,0,0,832,1,832,505,1337,0,0,1,3,5,0,3,1,263,0,0,108000
0535302080,1952,1952,0,1,339,525,1,1064,0,1064,0,0,1,2,4,0,1,1,318,0,0,135000
0535302200,1955,1955,0,1,648,324,1,972,0,972,0,0,1,3,5,0,3,1,305,0,0,122500
0535304060,1958,1958,0,1,532,456,1,988,0,988,1,0,1,2,5,0,3,1,264,0,0,119000
0535304180,1953,2007,0,1,731,326,1,1057,0,1057,1,0,1,3,5,0,1,1,246,0,52,109000
0535325400,1920,1994,0,0,0,576,2,985,0,985,0,0,1,2,4,0,1,2,676,0,0,105000
0535350030,1954,2003,104,1,320,404,2,1086,0,1086,1,0,1,3,6,0,3,2,490,0,0,144900
0535350040,1956,2000,0,1,248,448,3,936,0,936,1,0,1,2,4,0,3,1,308,0,0,129000
0535353190,1948,1950,0,0,0,912,1,912,546,1458,0,0,1,3,6,1,3,1,330,192,0,97500
0535401080,1959,2006,0,1,72,733,3,1287,0,1287,1,0,1,3,7,1,1,2,576,364,17,162000
0535425010,1967,2007,300,0,0,710,3,1898,1080,2978,0,1,2,5,11,1,2,2,564,240,0,242000
0535450210,1948,2004,0,1,481,161,1,816,408,1224,1,0,1,3,5,0,1,1,280,414,0,132000
0535453070,1959,1994,0,1,340,0,3,1246,0,1246,1,1,1,3,6,0,3,1,305,218,0,154000
0535454070,1952,1952,0,1,507,403,0,910,475,1385,0,0,2,4,6,0,1,2,720,0,0,166000
0535456110,1951,2000,0,1,234,180,1,900,0,900,0,0,1,3,5,0,1,2,576,222,32,134800
0535457010,1962,1962,261,0,0,1116,1,1116,0,1116,0,1,1,3,5,0,3,2,440,0,0,160000
0535457090,1960,1960,0,1,588,237,3,1175,0,1175,0,1,1,3,6,0,1,2,484,0,0,148000
0535476350,1963,1984,218,1,717,415,1,1395,0,1395,1,0,1,2,7,1,3,2,440,657,0,192000
0535477020,1966,1966,351,0,0,756,1,1051,788,1839,0,1,1,4,7,1,3,2,442,0,124,155000
0902104060,1910,2004,0,0,0,576,2,792,348,1140,0,0,1,3,7,0,0,0,0,0,160,96500
0902106130,1920,1950,0,1,579,357,1,936,0,936,1,0,1,2,5,1,0,0,0,51,0,109500
0902106140,1927,1950,0,0,0,1008,2,1028,0,1028,0,0,1,2,5,1,1,2,360,0,0,115000
0902110090,1957,1957,0,1,274,0,2,1347,0,1347,1,0,1,3,6,0,1,2,551,0,0,143000
0902125080,1915,1950,0,0,0,840,2,840,765,1605,0,0,2,3,8,0,1,1,379,0,0,107400
0902125160,1945,1950,0,0,0,747,1,747,0,747,0,0,1,2,4,0,3,1,220,0,0,80000
0902128170,1940,1992,294,1,510,278,1,804,0,804,1,0,1,2,4,2,3,1,240,0,0,119000
0902206040,1929,2001,0,1,234,0,1,926,0,1316,1,0,1,3,6,0,1,2,484,0,0,130000
0902206130,1938,2000,0,0,0,827,2,827,424,1251,0,0,1,3,6,0,1,1,240,0,0,119000
0902206220,1948,2009,0,1,780,247,3,1027,606,1633,0,0,1,3,7,1,1,1,240,0,100,129000
0902206240,1920,1962,0,1,176,832,1,1060,185,1245,0,0,1,3,6,0,1,1,315,0,0,100000
0902207130,1923,1970,0,0,0,678,1,832,0,832,0,0,1,2,5,1,1,2,780,0,0,12789
0902207140,1928,2003,0,0,0,624,2,720,0,720,0,0,1,2,5,0,1,2,484,106,0,105900
0902305110,1900,2003,0,0,0,930,1,930,636,1566,0,0,2,3,7,0,1,1,288,54,228,150000
0902327040,1915,1950,0,1,686,0,1,966,686,1652,1,0,2,4,7,0,1,1,416,0,0,139000
0902401060,1910,1950,0,0,0,840,0,1128,1128,2256,0,0,2,4,12,0,0,0,0,0,18,76500
0902402010,1957,1996,0,1,600,312,1,1236,0,1236,1,0,1,2,6,0,3,2,923,0,158,149700
0902402130,1910,1950,0,0,0,622,2,741,622,1363,0,0,1,3,6,0,1,2,528,0,0,125500
0902402250,1885,1950,0,0,0,777,2,1246,1044,2290,0,0,2,4,11,0,1,2,560,0,0,122500
0902403070,1922,1994,0,1,283,455,3,868,602,1470,0,1,1,2,6,0,1,2,624,0,0,140750
0903204040,1950,1997,0,1,788,200,3,1030,582,1612,0,1,1,3,7,0,1,1,363,0,0,128500
0903206120,1922,2005,0,1,474,634,1,1160,908,2068,0,1,1,3,8,1,1,1,315,0,0,209500
0903225150,1925,1950,0,1,188,577,1,765,0,765,1,0,1,2,4,0,1,1,200,135,0,87000
0903226160,1939,1950,0,1,452,144,1,608,524,1132,1,0,1,2,5,0,1,1,240,0,0,134000
0903227020,1940,1950,0,1,264,308,3,848,348,1196,0,1,1,3,6,2,1,2,576,0,0,128000
0903227150,1942,1950,300,1,360,316,1,955,498,1453,0,1,1,3,7,2,1,1,240,0,0,132000
0903228150,1948,1950,0,1,300,480,1,780,636,1416,0,1,1,3,6,0,1,1,312,221,0,139900
0903232190,1936,1980,0,1,276,252,2,548,492,1040,0,0,1,2,5,0,1,2,624,306,0,123900
0903233120,1930,1950,0,1,448,480,1,928,608,1536,0,0,2,4,7,1,1,2,480,0,10,138400
0903234050,1923,1950,0,1,960,164,1,1068,0,1068,1,0,1,2,5,1,1,1,288,0,0,109500
0903425110,1921,1950,0,0,0,576,2,902,808,1710,0,0,2,3,9,0,1,2,480,12,11,140000
0903426180,1915,1950,0,0,0,888,3,888,1074,1962,0,1,1,4,9,1,1,2,572,160,0,149500
0903426200,1912,2009,0,0,0,780,3,780,780,1560,0,1,1,3,7,0,0,0,0,344,0,159900
0903430080,1920,1993,0,0,0,662,3,662,662,1324,0,0,1,3,6,0,1,1,180,0,0,122000
0903476030,1900,1996,0,0,0,360,2,1032,780,1812,0,0,2,4,8,1,1,2,672,344,0,140000
0904100140,1940,1950,0,0,0,1032,3,1207,1196,2403,0,0,2,4,10,2,3,1,349,56,0,244400
0904101110,1959,1959,90,1,766,656,2,1675,0,1675,0,0,2,3,8,2,3,1,365,0,132,173000
0904300150,1917,1950,0,0,0,689,2,725,499,1224,0,1,1,3,6,0,1,1,180,0,0,107500
0904350045,1940,1950,0,1,368,232,3,600,319,919,0,0,1,3,5,0,1,1,231,0,0,95000
0904351040,1907,1950,0,1,73,634,1,942,942,1884,0,1,1,4,7,0,0,0,0,0,0,93369
0904352190,1910,1950,0,1,736,120,2,936,744,1680,1,0,2,2,7,1,1,2,450,56,144,114900
0905101100,1875,1996,0,0,0,780,2,780,240,1020,0,0,1,2,6,0,0,0,0,0,0,94000
0905102060,1965,1965,0,1,841,198,3,1039,0,1039,1,1,1,3,6,0,3,2,504,0,0,131500
0905103060,1957,1996,180,1,1302,90,1,1392,0,1392,1,1,1,3,5,1,1,2,528,0,0,121500
0905104210,1967,1967,0,1,842,70,1,912,0,912,0,0,1,3,5,1,1,1,336,0,0,125000
0905105070,1968,2001,0,1,188,204,3,1060,0,1060,1,0,1,3,6,1,3,1,270,406,90,154000
0905105200,1966,2008,47,1,240,150,3,892,0,892,1,0,1,3,5,0,1,1,416,0,0,137900
0905106140,1969,1969,143,1,371,292,1,663,689,1352,0,1,1,4,7,0,3,1,299,379,36,158000
0905106170,1968,1968,0,1,775,89,3,864,0,864,1,0,1,2,4,0,1,1,280,226,0,137250
0905107250,1968,1968,0,1,267,0,3,720,720,1440,0,1,1,4,7,2,3,2,480,192,38,163000
0905107320,1978,1978,328,1,438,234,1,672,714,1386,0,1,2,3,6,1,3,2,440,335,0,158900
0905109130,1996,1997,0,1,1201,105,3,1306,954,2260,1,1,2,3,7,0,3,2,533,296,44,328000
0905109170,1977,2001,0,1,1092,328,2,1483,0,1483,1,1,1,1,4,2,3,2,690,496,0,270000
0905201030,1927,1950,0,0,0,660,1,756,0,756,0,0,1,2,4,0,1,2,440,80,0,85000
0905202090,1950,1995,0,1,442,625,1,1067,0,1067,0,0,2,2,4,0,3,2,436,290,0,128000
0905352140,1978,1992,288,1,964,153,3,1117,864,1981,1,1,2,4,8,1,3,2,522,336,104,230000
0905378040,1938,1990,0,1,288,0,1,1052,558,1610,0,0,2,4,8,1,3,1,480,0,0,124000
0905426200,1950,1987,0,1,104,172,3,1074,0,1074,1,0,1,3,6,1,3,1,467,0,52,144500
0905451320,1956,1956,0,1,739,405,1,1144,0,1144,1,0,1,3,6,0,3,1,596,44,0,129000
0905452110,1947,1979,0,1,192,564,3,1169,0,1531,0,0,1,3,8,1,1,1,209,0,0,127000
0905452160,1954,1998,0,1,954,218,1,1172,0,1172,1,0,1,3,5,0,3,1,366,240,0,128000
0905453040,2009,2009,0,1,36,1176,3,1212,0,1212,0,0,2,3,6,0,3,2,460,100,22,186000
0905453080,2009,2010,96,1,1346,162,3,1508,0,1508,1,0,1,1,5,2,3,2,572,0,0,308030
0905475510,1964,1964,0,0,0,1250,3,1298,0,1298,0,0,2,3,5,0,1,2,504,0,144,114000
0906201030,1985,1985,336,0,0,741,1,977,755,1732,0,1,2,3,7,1,3,2,476,192,46,178000
0906201120,1987,1987,177,1,1433,0,3,1433,0,1433,1,1,1,1,4,2,3,2,528,0,278,270000
0906223090,1993,1994,246,1,750,300,3,1062,887,1949,1,1,2,3,8,1,3,2,574,156,90,236000
0906225210,1992,1992,0,1,747,189,3,996,0,996,1,0,1,2,5,0,3,2,564,120,0,147000
0906378100,2008,2008,72,0,0,1694,3,1694,0,1694,0,0,2,3,7,0,3,3,776,160,33,245350
0906425045,1900,1993,0,0,0,676,1,831,614,1445,0,0,2,3,6,0,1,2,484,0,59,138500
0906477110,1971,1971,80,1,504,506,2,1052,0,1052,1,0,1,3,6,0,3,2,440,0,0,155000
0907125090,1996,1996,0,1,870,0,2,965,0,965,1,0,1,2,4,0,3,2,580,71,0,159000
0907180050,1997,1998,0,1,353,525,3,892,800,1692,0,1,2,3,8,1,3,2,513,0,39,191000
0907185060,1998,1998,116,1,505,299,3,804,878,1682,0,1,2,3,7,0,3,2,523,0,77,200500
0907200280,1977,2004,0,1,198,140,3,1026,0,1026,1,1,1,3,5,0,3,1,308,316,85,150000
0907200290,1977,1977,153,1,378,311,3,689,703,1392,0,1,1,3,6,0,3,1,299,0,36,161750
0907200340,1976,1976,0,1,182,0,1,894,0,894,1,0,1,3,5,0,3,1,308,365,0,128200
0907203070,1972,1972,0,1,480,396,1,876,0,876,1,0,1,3,5,0,1,2,484,0,0,127000
0907250030,2003,2003,320,1,1682,296,3,1978,0,1978,1,1,2,3,8,1,3,3,850,188,25,318000
0907252120,2001,2002,479,1,1358,223,3,1601,0,1601,1,0,2,3,6,1,3,2,670,180,0,272000
0907262050,2003,2003,223,1,483,458,3,941,888,1829,1,1,2,3,7,1,3,2,613,192,39,237000
0907280040,1997,1997,0,0,0,1040,3,1044,1054,2098,0,1,2,4,9,1,3,2,621,331,38,240000
0907290040,1998,1998,442,0,0,1649,3,1661,0,1661,0,0,2,3,6,0,3,2,598,0,34,224900
0907290170,2003,2003,170,1,672,176,3,848,0,848,1,0,1,1,4,0,3,2,420,140,0,143750
0907290240,2004,2004,169,1,662,186,3,848,0,848,1,0,1,1,3,0,3,2,420,160,0,143000
0907401090,2003,2003,171,1,370,315,3,1668,0,1668,1,0,2,3,8,1,3,2,502,0,262,232000
0907410080,2004,2005,109,1,712,761,3,1484,0,1484,1,0,2,3,7,0,3,2,606,0,35,213000
0907414030,2004,2004,98,1,24,1390,3,1414,0,1414,0,0,2,3,6,0,3,2,494,132,105,185500
0908102110,1954,1954,0,0,0,381,3,992,0,992,0,0,1,3,6,0,1,1,319,60,0,155891
0908102170,1968,1968,0,1,1070,126,1,1196,0,1196,1,0,1,3,6,0,3,1,336,257,0,144000
0908102300,1948,1950,0,0,0,744,3,792,328,1120,0,0,1,2,5,0,1,2,480,0,0,64000
0908103350,1975,1975,0,1,528,480,1,1096,0,1096,1,0,1,3,5,1,1,1,352,0,0,125200
0908152080,1976,1976,0,1,422,480,1,1117,0,1117,1,0,1,3,6,1,1,2,672,144,0,107000
0908203100,1958,1958,0,0,0,960,3,960,0,960,0,0,1,3,5,0,0,0,0,0,0,90000
0908208020,2003,2004,0,0,0,1121,3,1121,0,1121,0,0,2,2,5,0,3,2,440,132,64,140000
0908225320,1945,1950,0,1,94,641,1,798,689,1487,0,1,1,3,7,1,1,1,220,0,140,113000
0908226130,1941,1950,0,1,348,324,0,672,252,924,1,0,1,2,5,0,1,1,280,0,0,80000
0909100080,1924,1999,203,1,133,974,0,1296,0,1296,0,0,2,2,5,1,1,1,260,0,0,104000
0909100110,1915,1950,0,0,0,806,1,841,806,1647,1,1,1,4,6,0,1,1,216,0,66,128000
0909101070,1914,1950,0,1,203,661,1,864,0,864,1,0,1,2,5,0,1,1,200,0,0,58500
0909176140,1924,1950,0,1,218,808,1,1026,665,1691,0,0,2,3,6,1,1,1,308,0,0,127000
0909176150,1939,1950,0,1,238,618,1,856,0,856,1,0,1,2,4,1,1,2,399,0,0,126000
0909250030,1931,1950,0,0,0,894,3,894,772,1666,1,0,1,3,7,1,0,0,0,0,156,100000
0909250060,1919,1990,0,0,0,804,3,1699,748,2447,0,0,2,4,10,1,1,1,336,272,0,169000
0909281080,1941,1985,371,1,426,850,3,1225,908,2133,1,1,1,4,8,2,3,1,312,0,0,257500
