PID,LotArea,LotShape,BldgTp,OverallQuality,OverallCondition,YearBuilt,YearRemodel,VeneerExterior,BsmtFinTp,BsmtFinSqft,BsmtUnfinSqft,HeatingQC,FstFlrSqft,SecFlrSqft,AbvGrndLiving,FullBathBsmt,HalfBathHouse,FullBathHouse,BdrmAbvGrnd,RmAbvGrnd,Fireplaces,GarageTp,GarageCars,GarageArea,WdDckSqft,OpenPrchSqft
527164120,10832,0,1,7,5,1994,1996,0,0,0,712,3,,809,1895,0,1,2,3,7,1,3,2,409,143,46
527165010,14067,1,1,6,5,1991,1991,194,1,504,332,2,851,858,1709,1,1,2,3,7,0,3,2,416,0,40
527183030,4671,0,0,8,5,1988,1989,0,1,767,461,2,1228,0,1228,1,0,2,2,5,1,3,2,472,168,120
527183060,5950,0,0,8,5,1989,1989,0,1,319,1018,2,1337,0,1337,1,0,2,2,5,1,3,2,462,0,73
528240050,8010,0,1,7,5,2002,2003,0,0,0,840,3,840,880,1720,0,1,2,3,7,1,2,2,400,138,48
528250030,8396,0,1,7,5,2003,2003,196,0,0,847,3,847,1139,1986,0,1,2,4,9,1,2,2,434,120,48
528253020,7301,0,0,7,6,2007,2008,176,1,876,474,3,1358,0,1358,1,0,20,2,,1,3,2,484,192,26
528280130,10261,0,1,6,5,2000,2000,318,0,0,936,3,962,830,1792,1,1,2,3,8,1,3,2,451,0,0
528280180,8220,0,1,7,5,2000,2001,647,1,544,438,3,1008,884,1892,0,1,2,3,8,1,3,2,431,108,0
531382120,8125,1,1,6,5,1994,1998,258,1,1138,270,3,1679,0,1679,1,0,2,3,7,1,3,2,575,224,42
531384030,14565,0,1,7,5,1994,1995,145,1,537,295,3,832,825,1657,0,1,2,3,6,0,3,2,483,144,74
531385060,8450,1,1,6,5,2001,2001,0,1,472,355,3,827,850,1677,1,1,2,3,7,0,3,2,627,0,68
907176010,13142,0,1,6,5,1997,1997,128,1,688,176,3,872,899,1771,1,1,2,3,6,0,3,2,600,0,96
907181120,8998,0,1,7,5,2000,2000,120,1,527,255,3,782,870,1652,0,1,2,3,6,0,3,2,532,0,70
907181140,9179,0,1,7,5,1999,1999,158,1,633,240,3,882,908,1790,1,1,2,3,7,0,3,2,588,0,88
907187030,8924,0,1,7,5,1998,1999,0,0,0,880,3,880,844,1724,0,1,2,3,8,0,3,2,527,120,155
907187080,9382,0,1,7,5,1999,2000,125,0,0,1468,3,1479,0,1479,0,0,2,3,6,0,3,2,577,120,25
907192130,12803,0,1,7,5,2002,2002,99,1,922,572,3,1494,0,1494,1,0,2,3,6,1,3,2,530,192,36
907253110,10400,1,1,7,5,2001,2001,227,0,0,1257,3,1290,871,2161,0,1,2,3,8,1,3,2,570,0,84
907254020,9066,0,1,8,5,1999,2000,320,1,668,336,3,1004,848,1852,0,1,2,3,7,2,3,3,660,224,106
907254090,11404,0,1,7,5,1998,1999,202,1,252,901,3,1153,878,2031,0,1,2,3,8,1,3,2,541,192,84
907405020,9135,1,1,7,5,2002,2003,113,1,810,726,3,1536,0,1536,1,0,2,3,7,0,3,2,532,192,74
907405140,8450,1,1,7,5,2003,2003,196,1,706,150,3,856,854,1710,1,1,2,3,8,0,3,2,548,0,61
907412040,9750,1,1,7,5,2004,2004,50,1,24,1421,3,1445,0,1445,0,0,2,3,6,0,3,2,470,0,35
907412070,8450,1,1,7,5,2004,2004,266,1,946,490,3,1436,0,1436,1,0,2,,8,0,3,2,484,139,98
907412080,8320,1,1,7,5,2004,2004,0,1,490,280,3,770,812,1582,0,1,2,3,6,0,3,2,520,0,45
527325110,11952,1,1,7,6,1977,1977,0,0,0,808,1,1161,808,1969,0,1,2,3,8,1,3,2,534,0,0
527327050,12046,0,1,6,6,1976,1976,298,1,156,692,1,,912,2030,0,1,2,4,8,1,3,2,551,0,224
527375180,10140,1,1,6,6,1974,1974,196,1,888,228,3,,0,1116,1,0,2,3,6,1,3,2,528,0,0
527375210,11050,0,1,7,5,1975,1975,0,1,636,540,0,1193,0,1193,0,0,2,3,5,1,3,2,506,40,0
527376100,10140,1,1,6,5,1974,1974,174,0,0,1064,1,1350,0,1350,0,0,2,3,7,1,3,2,478,0,0
527378140,10448,0,1,6,6,1972,1972,333,0,0,689,1,1378,741,2119,0,1,2,3,7,1,3,2,583,0,104
527356040,11880,0,1,7,5,1978,1978,206,1,704,567,1,1601,0,1601,0,0,2,3,7,1,3,2,478,0,0
527359050,10400,1,1,7,5,1976,1976,189,0,0,1090,1,1370,0,1370,0,0,2,3,6,1,3,2,479,0,0
528220040,8918,0,1,6,5,2005,2006,0,0,0,745,3,745,745,1490,0,1,2,3,7,1,3,2,392,36,20
528221060,12589,0,1,6,5,2005,2005,0,0,0,742,3,742,742,1484,0,1,2,3,8,1,3,2,390,36,24
528221070,11911,0,1,6,5,2005,2005,0,0,0,684,3,684,876,1560,0,1,2,3,6,1,2,2,400,100,38
528228290,3684,1,0,7,5,2007,2007,130,0,0,1373,3,1555,2693,1555,0,0,20,2,7,1,3,3,660,143,20
909276200,9600,0,1,5,7,1940,1950,0,1,428,300,3,976,332,1308,1,1,1,2,7,2,1,1,256,0,70
909277090,14680,0,1,5,4,1960,1960,0,1,793,480,3,1273,,1273,0,0,1,2,5,0,3,1,307,483,0
909277100,13360,0,1,5,7,1921,2006,0,1,713,163,3,964,,964,1,0,1,2,5,0,1,2,432,0,0
909278020,7681,0,1,5,6,1921,1950,0,0,0,731,3,820,523,1343,0,1,1,3,7,1,1,1,186,192,0
914475010,9750,1,1,6,6,1977,1977,0,1,767,135,3,926,0,926,1,0,1,2,5,1,3,1,351,319,0
914475030,9360,1,1,6,7,1977,1977,0,1,841,0,1,1287,0,1287,1,1,1,2,5,2,3,2,541,302,39
914476380,9947,0,1,7,5,1990,1991,0,1,611,577,3,1217,0,1217,1,0,2,,6,0,3,2,497,168,27
914476430,11070,1,1,5,5,1991,1991,0,1,55,1527,1,1595,0,1595,1,0,2,2,5,0,1,2,672,0,0
531375120,13695,1,1,6,5,2003,2004,0,1,814,300,3,1114,0,1114,1,0,1,3,6,0,1,2,576,0,78
531376010,8366,0,1,6,5,2004,2004,0,0,0,798,3,798,842,1640,0,1,2,3,6,0,3,2,520,138,45
527402220,8750,0,1,5,6,1970,1970,76,1,828,174,1,1002,0,1002,1,0,1,3,5,0,1,2,902,0,0
527403040,7930,1,1,6,8,1969,2005,0,1,439,115,2,1026,0,1026,1,0,1,3,5,0,1,2,440,171,48
527404020,7830,0,1,5,5,1970,1970,0,0,0,1180,1,1180,0,1180,0,1,1,2,6,0,3,2,477,0,45
527404030,8510,0,1,5,7,1971,1971,178,1,500,543,3,1050,0,1050,1,1,1,3,6,0,3,1,336,0,0
527405130,7038,1,1,4,6,1970,1970,,1,726,138,1,864,0,864,1,0,1,3,5,0,1,2,576,210,0
527405160,6960,1,1,4,6,1970,1970,0,1,375,250,1,864,0,864,0,0,1,3,5,0,1,2,660,96,0
527405180,8120,1,1,4,7,1970,1970,0,1,191,673,3,864,2998,864,0,0,1,3,5,0,1,2,463,0,0
527425060,10500,1,1,4,6,1971,1971,0,1,524,160,2,864,0,864,0,0,1,2,4,0,1,2,576,216,0
527425110,9000,1,1,4,7,1971,2006,0,1,240,624,2,864,0,864,0,0,1,3,5,0,1,2,576,200,0
527450280,1680,1,0,6,5,1973,1973,504,1,254,229,1,483,504,987,1,1,1,2,5,0,1,1,264,0,0
527451110,2368,1,0,5,6,1970,1970,312,1,765,0,1,765,600,1365,0,1,1,3,7,0,3,2,440,0,36
527451320,1680,1,0,5,5,1971,1971,142,0,0,630,1,630,672,1302,0,1,2,3,6,0,1,1,280,0,0
527451540,1680,1,0,6,6,1972,1972,425,1,110,79,1,483,504,987,1,1,1,2,5,0,1,1,288,0,0
527451640,1680,1,0,6,8,1972,2007,510,1,162,321,2,483,504,987,0,1,1,2,5,0,1,1,264,250,0
528114050,14977,0,1,8,5,2006,2007,304,1,1350,626,3,1976,,1976,1,0,2,2,7,1,3,3,908,250,63
528118040,13654,0,1,9,5,2005,2006,365,0,0,1704,3,1722,1036,2758,0,1,2,4,9,1,2,3,814,282,55
528166120,13688,0,1,9,5,2003,2004,664,1,1016,556,3,1572,1096,2668,1,1,2,,10,2,2,3,726,400,0
528170070,10625,1,1,7,5,2003,2004,292,1,866,132,3,1006,1040,2046,1,1,2,3,8,1,2,3,871,320,62
528172080,10845,0,1,8,5,2003,2004,504,1,1149,454,3,1575,,1575,1,0,2,2,,1,3,3,732,216,28
528178070,16900,1,1,8,5,2001,2002,1110,1,1075,404,3,1515,1134,2649,1,1,2,4,10,1,3,3,746,0,60
